makan                      to eat, consume
kanan                      right (opposite of left)
kiri                       left (opposite of right)
musuh                      enemy
menghabiskan               to spend; to finish
bebas                      free; independent
memakai                    wear; use
hubungan                   relationship; connection
sesiapa                    one; anyone
musim                      season
musim bunga                spring
musim gugur                autumn
musim panas                summer
musim sejuk                winter
perintah                   order; command
gagal                      to fail; failed
membeli                    buy
telepon                    phone
mampu                      capable; to be able; to afford
permisi                    excuse me
rahasia                    secret; confidential
kadang                     sometimes
mengubah                   to change; to transform
putri                      daughter
hidupku                    life
memutuskan                 to decide; to determine
ulang                      to repeat
artinya                    that is to say
beruntung                  lucky; fortunate
perasaan                   feeling; emotion
dingin                     cool;  cold
milik                      possession; property
memerlukan                 to need; require
lupakan                    forget about
jiwa                       soul
mencintai                  to love
tugas                      task; job; duty
main                       play
teruskan                   continue
menangis                   cry
ratu                       queen
semula                     from the beginning; back
memikirkan                 to think; to consider
kebenaran                  approval
melarikan diri             run away
bung                       fella; buddy
mengikuti                  follow; go along (join in)
bersalah                   to be wrong or guilty; fault
berbohong                  to lie; to make an untrue statement
wajah                      face; complexion
bau                        odor; smell
kesini                     to here
pahlawan                   hero; warrior
beliau                     respectful for: he, she
utama                      main; primary
berjanji                   to promise
menelepon                  to call; to telephone
jawab                      answer
langkah                    step; measure (noun)
mundur                     backward; underdeveloped
pastikan                   sure; to make sure; to check
patut                      fair
berat                      weight; heavy
hak                        right (in the juridical/legal sense)
keren                      handsome; dashing; cool; perky
cahaya                     light
setidaknya                 at least
tim                        team
tujuan                     purpose; destination; goal
digunakan                  be used
puan                       madam; mrs
membuka                    open
menyerang                  attack
gembira                    happy; excited
keputusan                  decision
astaga                     oh my god
sejarah                    history
telefon                    phone
sisi                       side
sistem                     system
dasar                      basis
dibuat                     be made of
dimulai                    begins
perusahaan                 enterprise; business
selain                     apart from
siang                      daytime
sibuk                      busy
pindah                     move
perhatikan                 pay attention to
kukatakan                  I say
menyukai                   to like
misi                       mission
pegang                     hold; grasp
bahaya                     danger
adil                       fair; just
sering                     often
mengganggu                 interfere; disturb
pihak                      party; side
gelap                      dark
menonton                   watch; observe
merasakan                  feel; taste
bukti                      evidence; proof
mengalahkan                beat; to defeat
hantu                      ghost
kasus                      case
mengalami                  an experience
mohon                      ask; beg; plead
peluru                     bullet
supaya                     so that
tertawa                    laugh
ketakutan                  fear
alam                       nature
namaku                     my name is
pintar                     smart
pernikahan                 wedding
menakjubkan                spectacular
menurut                    by; according to
periksa                    check; examine
menyerah                   surrender
bayangkan                  imagine
begini                     like this
kamera                     camera
sedia                      available
dolar                      dollar
mengejar                   chase
tukang                     tradesperson; craftsman
akal                       intellect; mind
daerah                     district; region
detik                      period (end of a sentence)
harapan                    hope; expectation
penjaga                    keeper; guardian
bersumpah                  swear
emas                       gold
memahami                   understand
mula                       start; begin
terluka                    injured (hurt)
utara                      north
selatan                    south
timur                      east
barat                      west
mayat                      body; corpse
menyelesaikan              to solve (a problem)
angkat                     lift; raise up
bermaksud                  meaning; intention; to intend
lampu                      light; lamp
bos                        boss
kini                       nowadays; presently
rahsia                     secret
lahir                      to give birth
bandar                     city; town
berharga                   valuable; of worth
meskipun                   although; though
sampah                     garbage
kalah                      lose; defeated
kulit                      skin; leather
lawan                      opponent; oppose; rival
memukul                    hit; strike; o'clock
pelacur                    prostitute
bertindak                  act
menari                     dance
menemui                    meet
pertandingan               competition; match (game)
profesor                   professor
semasa                     during
tarik                      pull
angin                      wind
kejahatan                  evil
menghilang                 disappear
saling                     mutually
lapar                      hungry
nenek                      grandmother
pantas                     fast; quick
terbunuh                   killed
bisnis                     business
situ                       over there (within sight)
menempatkan                house; to (put) place
menjual                    to sell
operasi                    operation
posisi                     position
tindakan                   action
kemungkinan                possibility
khusus                     specific; special; especially
latihan                    training; exercise; practice
suami                      husband
bernama                    named
keberatan                  objection; to mind (to be displeased)
kemarin                    the day before yesterday
ubat                       medicine
tembakan                   shot; gunfire
titik                      point; drop
bangga                     proud
foto                       photo
nasib                      fate
dewasa                     adult; grown-up
harusnya                   there should
peraturan                  regulation; rule
terkenal                   famous
acara                      events; program (schedule)
allah                      God
mencapai                   achieve; reach; attain
menutup                    close; cover
seni                       art
situasi                    situation
tuhanku                    My Lord
menyentuh                  touch; to touch
menyimpan                  to store; to keep
keselamatan                security
umum                       general; public
berasal                    derived; origin; to originate
kawasan                    region; area
menjelaskan                explain
tumbuh                     grow (larger, up)
keluarkan                  to put out (money)
peribadi                   personal; private
rakyat                     people
tentera                    military; armed forces
tertarik pada              interested in
tv                         television
am                         general
amat                       very
ceritakan                  tell a story
diperlukan                 be required
langit                     sky
minuman                    drinks; a drink
perajurit                  soldier
sila                       please
lemah                      weak
menikmati                  enjoy
otak                       brain; mind
perancis                   France
desa                       village
laporan                    a report
memotong                   cut; slice
pertemuan                  meeting
buang                      throw away
kegelapan                  darkness
mabuk                      drunk
disebut                    mentioned
enak                       delicious
halaman                    page
okey                       okay
alat                       tool; utensil; instrument
musik                      music
ais                        ice
iblis                      devil
mengirim                   send
ujian                      test
menyebab                   to cause
sesuai                     appropriate
soal                       question; ask
dibawah                    below
kuasa                      power; authority
kumpulan                   body; group
madu                       honey
menyedari                  realize
seberapa                   as much as
anggota                    member
bahan                      material; ingredient
bom                        bomb
awas                       beware; be careful; look out
hubungi                    contact (get in touch with)
kejadian                   incident; happening
peluang                    chance (opportunity)
peta                       map
pusat                      center
besi                       iron; metal
sederhana                  modest; simple plain
dendam                     revenge; grudge
mengajar                   to teach
bohong                     lie; make up a story
kehormatan                 honor
menakutkan                 scary
guna                       to use
jujur                      honest
pemimpin                   leader
semangat                   spirit
abang                      elder brother
berlatih                   to practice
bimbang                    worried
cocok                      fitting; suitable; appropriate
hancur                     destroyed; dissolved
ksatria                    knight
mengambilnya               take
pohon                      tree; bush
rusia                      Russia
sentuh                     touch
takdir                     fate; destiny
hatiku                     my heart
komputer                   computer
maju                       advanced; go forward; advance
malu                       ashamed; shame
memegang                   hold; grasp
tulang                     bone
diterima                   be accepted; acceptable
palsu                      false; artificial; counterfeit
pura-pura                  pretend
vampir                     vampire
informasi                  information
istimewa                   preferential; extraordinary
korban                     sacrifice
maklumat                   information
membangun                  develop; awaken; build
raksasa                    monster
kemenangan                 victory
masukkan                   enter; put inside
memimpin                   lead (be a leader)
menghadapi                 face; confront
pemerintah                 government; ruler
sebahagian                 partly
sedar                      aware; realize; be conscious
ke dalam                   into
pak cik                    uncle
sih                        hmm
bagaimanapun               however
bersih                     to clean
mengatur                   to arrange; to organize
perubahan                  change; alter
sebut                      quote; say
berbeza                    differ; to be different
kebetulan                  actually; as it happens
perjanjian                 agreement
berangkat                  depart
berjumpa                   see; meet
kartu                      card
menara                     tower
menolak                    reject; decline (refuse)
perahu                     boat
putus                      to decide
tenaga                     energy; power
termasuk                   including
jawapan                    answer; response
juara                      champion
kotoran                    dirt; stain
menahan                    hold
adik                       younger brother or sister
gerakan                    motion; movement; action
kakak                      elder sister
menawarkan                 offer (suggest opinion or service)
penerbangan                flight (plane)
sumber                     source
tamu                       guest; visitor
hantar                     send; to deliver
menyembunyikan             to hide
mustahil                   impossible; incredible
pilih                      select; choose
sedih                      sad; unhappy; upset
untuknya                   for him
ampun                      forgiveness; mercy
daftar                     register; a list
demikian                   so; hence; therefor
aturan                     sequence (order)
jalur                      stripe; band
seks                       sex
paksa                      forced; compulsion
urusan                     business; affair; matter
berterima                  thank; grateful
mengucapkan                pronounce; say something
nyaman                     cozy; comfortable; pleasant
kode                       code
lokasi                     location
menderita                  suffer
bermimpi                   to dream
engkau                     you (familiar, friend, same status)
entah                      who knows; don't know
garis                      line
kue                        cake; pastry; cookie
sasaran                    target
tekan                      press
usia                       age
cermin                     mirror; to reflect
jambatan                   bridge
jendela                    window
syarikat                   company
kanak                      child
menciptakan                create
petunjuk                   guidance
rasakan                    feel
sisa                       residual
terjebak                   stuck
balas                      reply
berhubungan                relation
get                        gate
mil                        mile
sejati                     true
setahun                    one year
surga                      heaven
bagiku                     me
berperang                  war
catatan                    note
kecelakaan                 accident
kenyataan                  reality
kubilang                   I say
membakar                   burn
peri                       elf
bersamamu                  with you
jumlah                     total
lelah                      tired
mengenal                   identify
nyonya                     mistress
orangnya                   one
pasien                     patient
pengecut                   coward
rusak                      broken
sayangku                   dear
ancaman                    threat
dgn                        with
kebanyakan                 majority
mengirimkan                send
penyihir                   witch
selesaikan                 settle
temanmu                    your friends
cepatlah                   Make it snappy
gaya                       style
jin                        genie
kejam                      cruel
lukisan                    painting
pukulan                    blow
sadar                      aware
sobat                      comrade
detektif                   detective
gedung                     building
jelek                      ugly
kepadamu                   to
lelucon                    gag
mematikan                  turn off
tanggal                    date
bersamaku                  with me
haruskah                   should leave
jauhkan                    away
jepang                     Japanese
kacau                      incoherent
mahukan                    want
membantumu                 help
memenuhi                   meet
mengeluarkan               issue
menghantar                 send
sarapan                    breakfast
abad                       century
anggap                     consider
bertenang                  off
buru                       Rush
gerbang                    gate
hakim                      judge
matanya                    eyes
murid                      pupil
sentiasa                   always
setan                      demon
suci                       holy
adikku                     sister
atap                       roof
begitulah                  quite, so
berteriak                  shout
ciuman                     kiss
have                       Ada
hormat                     respectful
hubungannya                relationship
ketua                      chief
mendarat                   landed
pejuang                    fighter
tuanku                     Your Highness
wah                        wow
bangsat                    brock
berpakaian                 dress
bersamanya                 with
bersiap                    ready
got                        sewer
masyarakat                 community
melanggar                  violate
menghubungi                contact
pemain                     player
putra                      son
tanganku                   hand
asli                       native
celana                     pants
entahlah                   I do not know
hukuman                    sentence
keberanian                 courage
keparat                    dammit
masing                     their
melompat                   jump
memalukan                  embarrassing
mencium                    kiss
menyakiti                  hurt
pangeran                   prince
pertunjukan                show
apaan                      fuck
hasil                      result
kepadaku                   me
maksudnya                  meaning
pendapat                   opinion
umur                       age
bibi                       aunt
ditangkap                  be arrested
gua                        cave
kebaikan                   good
lapangan                   field
melayani                   serve
nilai                      value
pengalaman                 experience
sepatu                     shoe
terkejut                   shocked
tiap                       each
warga                      member
bercinta                   fuck
berikut                    following
darurat                    emergency
harta                      property
menceritakan               tell
mencintainya               love
menurutku                  followeth
terserah                   surrendered
jadilah                    roger
keberuntungan              luck
membersihkan               clean
mengingatkan               remind
sudut                      angle
tahanan                    detainee
tewas                      lost
asap                       smoke
dibawa                     be carried
jenderal                   general
konyol                     incompetent
liar                       wild
menghormati                respect
mengurus                   manage
olah                       if
persis                     exactly
saudaraku                  brother
taman                      park
boneka                     puppet
kesepakatan                deal
membawamu                  brought
mengagumkan                amaze
merusak                    dislocate
nafas                      breath
rumahku                    My house
teknologi                  technology
tertentu                   certain
wakil                      representative
fokus                      focus
gunanya                    use
istana                     palace
kebebasan                  freedom
keduanya                   both
memasak                    cook
mengira                    think
sel                        cell
sembunyi                   hide
siapakah                   who
stop                       whoa
ajar                       hermit
berbuat                    to do
damai                      peace
ditembak                   shot
energi                     energy
jelaskan                   tell
kemampuan                  ability
kemarilah                  come here
kes                        case
kukira                     I suppose
masuklah                   go
membenci                   hate
membuktikan                prove
memperbaiki                improve
mengharapkan               expect
menolong                   help
pencuri                    thief
pengawal                   guard
peperangan                 war
sebaliknya                 otherwise
seorangpun                 one
sepertimu                  like you
siapkan                    prepare
tangannya                  hand
kasar                      gross
keluargaku                 family
keuntungan                 profit
kuno                       ancient
memasuki                   enter
memilikinya                have
memori                     memory
menangani                  handle
menteri                    minister
paham                      understand
pelajar                    student
pengetahuan                knowledge
sabar                      patient
seterusnya                 next
terang                     bright
usaha                      effort
akulah                     I am
berlalu                    pass
cobalah                    try
kesan                      impression
membuang                   waste
mengingat                  remember
menyerahkan                submit
misteri                    mystery
papa                       destitute
pelanggan                  customer
rupanya                    apparently
sayap                      wing
sebenar                    real
segar                      fresh
tarian                     dance
badai                      storm
bakat                      talent
berfungsi                  function
bermakna                   means
jarak                      distance
keajaiban                  miracle
listrik                    electricity
mempercayai                believe
menaruh                    put
mencuba                    try
meyakinkan                 convince
minyak                     oil
sayangnya                  unfortunately
tekanan                    pressure
telpon                     telephone
bertaruh                   bet
bir                        beer
keinginan                  desire
kembalikan                 return
kencan                     date
kepalanya                  head
matikan                    turn off
membosankan                boring
mengendalikan              control
menggunakannya             use
menjauh                    away
santai                     relaxed
bakar                      grilled
dikenal                    be known
dipanggil                  be called
keadilan                   justice
kepalamu                   head
kirim                      send
kursi                      chair
masanya                    time
mempertahankan             defend
menyanyi                   sing
mirip                      similar
pemburu                    hunter
restoran                   restaurant
satelit                    satellite
seksi                      sexy
serigala                   wolf
benarkan                   allow
bernafas                   breathe
can                        cans
matamu                     eyes
melupakan                  forget
memuat                     load
mencarinya                 search
mengakui                   acknowledge
merubah                    change
papan                      board
sehat                      healthy
akses                      access
anakmu                     son
angkasa                    space
bunyi                      sound
coklat                     brown
darimu                     from you
diantara                   between
kekacauan                  chaos
kekuasaan                  power
laluan                     route
membawaku                  took
mengisi                    fill
pantat                     ass
perlindungan               protection
rancangan                  plan
ribuan                     thousands
sukar                      difficult
teori                      theory
terasa                     feel
terdapat                   there
diketahui                  unknown
hadapan                    front
isyarat                    signal
kemalangan                 accident
kepercayaan                belief
mengawal                   guard
menipu                     cheat
samping                    side
secepat                    as fast as
serang                     attack
sisanya                    residual
alamat                     address
bertanggung                responsible
but                        boots
cerdas                     intelligent
contoh                     example
fakta                      fact
filem                      film
istriku                    my wife
katanya                    he
kuliah                     lecture
lindungi                   protect
malang                     unlucky
maukah                     Will
muzik                      music
rindu                      longing
rumit                      complicated
simbol                     symbol
truk                       truck
undang                     law
duduklah                   sit
gratis                     free
impian                     dream
kelompok                   cluster
kesulitan                  difficulty
kondisi                    condition
letnan                     luff
menanyakan                 ask
menyakitkan                painful
merokok                    smoke
militer                    military
nyalakan                   kindle
pesanan                    order
pipa                       pipe
tampan                     handsome
tersembunyi                hidden
arahan                     instructions
bergurau                   joke
berkumpul                  gather
bijak                      wise
darimana                   from which
dilihat                    seen
jerman                     German
kabur                      fuzzy
marilah                    let
membebaskan                release
memberiku                  gave
peringatan                 reminder
perlawanan                 resistance
ratusan                    hundreds
sengaja                    deliberate
seumur                     coeval
tubuhnya                   her
wilayah                    region
bosan                      bored
ganti                      replacement
hewan                      animal
kaca                       glass
lembut                     soft
membicarakan               discuss
mengumpulkan               collect
minggir                    Out of the way
mulakan                    start
nakal                      naughty
salahku                    fault
stasiun                    station
taksi                      taxi
abah                       direction
bingung                    confused
daya                       power
dipercaya                  be trusted
jejak                      trail
krim                       cream
mantan                     former
membayangkan               imagine
nuh                        legitimacy
pelayan                    waitress
pengadilan                 court
racun                      poison
sahabat                    friend
salam                      hello
tanggung                   bear
terburuk                   worst
tergantung                 suspended
terhormat                  honorable
tes                        test
bekas                      former
buta                       blind
isi                        contents
katakanlah                 Say
kekasih                    lover
kelaparan                  hunger
kepalaku                   head
kod                        code
memenangkan                win
mengawasi                  oversee
pasang                     tide
peti                       box
petir                      lightning
tempatnya                  place
anggur                     grapes
berbagi                    share
bermula                    started
danau                      lake
dewan                      council
dirumah                    home
jalankan                   run
jatuhkan                   drop
mahasiswa                  student
maksudkan                  mean
melanjutkan                extend
menelefon                  call
nikmati                    enjoy
pengacara                  lawyer
bersinar                   shine
menendang                  kick
sambil                     while
sebanyak                   as much as
